HOST_COMMON_NAME,OBJID,RA,DEC,D_PROJ,DELTA_HRV,R,R_ABS,GR,MU_EFF,LOG_STELLAR_MASS,H_ALPHA,Z_SOURCE,INTERNAL_HOSTID,INTERNAL_OBJID
NGC7029,DES-188054728,317.9267,-49.1875,66,162,17.35,-15.6,0.62,22.84,8.15,N,AAT,pgc66318,188054728
NGC7029,DES-188072275,318.0170,-49.4633,121,12,17.53,-15.4,0.63,23.64,8.10,N,AAT,pgc66318,188072275
NGC7029,DES-188072825,317.9191,-49.4568,116,45,17.71,-15.2,0.52,21.97,7.91,Y,2dF,pgc66318,188072825
NGC7029,DES-191931631,318.1685,-49.6251,242,-155,17.90,-15.0,0.42,22.31,7.73,Y,AAT,pgc66318,191931631
NGC7029,DES-188058282,317.7678,-49.2384,91,-86,18.14,-14.8,0.49,22.37,7.70,Y,AAT,pgc66318,188058282
NGC7079,DES-206747419,323.6315,-44.3144,270,-113,13.16,-19.7,0.39,21.95,9.54,Y,6dF,pgc66934,206747419
NGC7079,DES-201237392,322.8677,-43.9600,144,57,15.89,-16.9,0.51,22.28,8.58,Y,AAT,pgc66934,201237392
NGC7079,DES-203016260,322.9709,-43.6539,274,-77,16.85,-16.0,0.36,23.52,8.04,N,AAT,pgc66934,203016260
NGC7079,DES-203024920,322.9955,-43.7851,192,-232,17.55,-15.3,0.46,23.42,7.87,Y,AAT,pgc66934,203024920
ESO288-025,DES-247129294,330.2345,-43.8028,179,21,16.90,-15.8,0.44,23.19,8.05,Y,AAT,pgc67782,247129294
ESO288-025,DES-247126789,329.7579,-43.7531,73,84,18.38,-14.3,0.31,22.65,7.31,Y,AAT,pgc67782,247126789
NGC7166,DES-219806824,330.1490,-43.1405,145,-187,14.59,-18.0,0.47,22.27,8.98,Y,6dF,pgc67817,219806824
NGC7166,DES-247094045,330.5277,-43.2685,180,185,16.32,-16.3,0.26,22.03,8.06,Y,6dF,pgc67817,247094045
NGC7166,DES-72187492,330.7073,-43.4457,244,55,16.61,-16.0,0.39,23.98,8.09,Y,AAT,pgc67817,72187492
NGC7166,DES-247096912,330.4219,-43.3113,129,181,16.98,-15.7,0.56,25.00,8.13,Y,AAT,pgc67817,247096912
